??  BARDBOX AGENCY — PRODUCTION SCHEDULE  |  May 2026  |  Capacity-Packed  |  Long Videos Blocked,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  ?  Abhishek done by 28 May  |  ?  Jignesh done by 29 May  |  ?  Dhairya done by 21 May  |    ?? Long Videos blocked (Wed+Thu Abhishek)  •  ?? BW Long + Story Videos (Jignesh Mon–Fri as assigned)  •  ??? Graphic max 8 slots/day,,,,,,,,,,,,,,,,,,,,,
??  ABHISHEK  |  Motion  |  3 Reels/day  |  Bizcivitas Long Video every Wed+Thu  |  Done: 28 May 2026,,,,,,,,,??  JIGNESH  |  Motion  |  3 Reels/day  |  Story Films W1-W2  •  BW Long Thu+Fri  |  Done: 29 May 2026,,,,,,,???  DHAIRYA  |  Graphic  |  2 Carousels+1 Static/day  |  Done: 21 May 2026,,,,,
Date,Day,Task,Client,Type,Prio,Post Date,Cap,,Task,Client,Type,Prio,Post Date,Cap,,Task,Client,Type,Prio,Post Date,Cap
7 May,THU,??  Bizcivitas — Weekly Long Video (W1)  [Edit Day],Bizcivitas,[WL] Long Video,?? High,"Wed=shoot, Thu=edit | 1 day edit | Weekly recurring",100%,,??  Bzc_Contact To Contracts,Bizcivitas,[RL] Reel,?? High,,100%,,Why Customers Forget You,Brand Whisperer,[CR] Carousel,?? High,12 May,100%
,,,,,,,,,,,,,,,,Why You Feel Stuck,Bizcivitas,[CR] Carousel,?? High,13 May,
,,,,,,,,,,,,,,,,Your Brand Is Leaking Revenue,Brand Whisperer,[SP] Static Po,?? High,18 May,
,,,,,,,,,,,,,,,,,,,,,
8 May,FRI,Memory Is Underrated Profit,Brand Whisperer,[RL] Reel,?? High,13 May,100%,,??  Bzc_Identity Upgrade,Bizcivitas,[RL] Reel,?? High,2-day edit | Recurring weekly long-form content,100%,,Inside First RDCC Consultation,RDCC,[CR] Carousel,?? High,13 May,100%
,,3 Signs Child May Need Speech Therapy,RDCC,[RL] Reel,?? High,15 May,,,,,,,,,,Case Study — Brand Before/After,Bardbox,[CR] Carousel,?? High,18 May,
,,Real-Time Problem Solving,Bizcivitas,[RL] Reel,?? High,19 May,,,,,,,,,,Entry Is Limited,Bizcivitas,[SP] Static Po,?? High,20 May,
,,,,,,,,,,,,,,,,,,,,,
11 May,MON,People Don't Buy Products,Brand Whisperer,[RL] Reel,?? High,20 May,100%,,??  Bzc_Hemalraj Workshop,Bizcivitas,[SV] Long Video,?? High,75–90 sec | Female founder emotional journey | Script ready,100%,,5 Signs Brand Is Leaking,Brand Whisperer,[CR] Carousel,?? High,19 May,100%
,,3 Signs After Age 2 — Viral,RDCC,[RL] Reel,?? High,21 May,,,,,,,,,,When Should Parents Consult Expert,RDCC,[CR] Carousel,?? High,20 May,
,,Nobody Talks Like This,Bizcivitas,[RL] Reel,?? High,23 May,,,,,,,,,,BardBox Services CTA,Bardbox,[SP] Static Po,?? High,22 May,
,,,,,,,,,,,,,,,,,,,,,
12 May,TUE,Marketing ROI Reality,Bardbox,[RL] Reel,?? High,26 May,100%,,RDCC_Dr Nitin Agarwal,RDCC,[RL] Reel,?? High,75–90 sec | Female founder emotional journey | Script ready,100%,,Stop Hiding Behind Your Product,Brand Whisperer,[SP] Static Po,?? High,25 May,100%
,,Book Developmental Screening CTA,RDCC,[RL] Reel,?? High,27 May,,,??  Bzc_Hemalraj Workshop (Resuming),Bizcivitas,[SV] Long Video,,,,,What You Become Here,Bizcivitas,[CR] Carousel,?? High,26 May,
,,Final Reality Check,Bizcivitas,[RL] Reel,?? High,29 May,,,,,,,,,,Why Clients Don't Come Back,Brand Whisperer,[CR] Carousel,?? High,26 May,
,,,,,,,,,,,,,,,,,,,,,
13 May,WED,??  Bizcivitas — Weekly Long Video (W2)  [Shoot Day],Bizcivitas,[WL] Long Video,?? High,"Wed=shoot, Thu=edit | 1 day edit | Weekly recurring",100%,,??  Bzc_Hemalraj Workshop (Resuming) (Audio Issue),Bizcivitas,[Biz] Long Video,?? High,8 May,100%,,Growth Systems Carousel,Bardbox,[CR] Carousel,?? High,27 May,100%
,,,,,,,,,,,,,,,,Stop Blaming Strategy,Bizcivitas,[CR] Carousel,?? High,30 May,
,,,,,,,,,,,,,,,,Your Business Looks Uncertain,Bardbox,[SP] Static Po,?? Medium,5 May,
,,,,,,,,,,,,,,,,,,,,,
14 May,THU,Brandwhisperer ,,[RL] Reel,?? High,"Wed=shoot, Thu=edit | 1 day edit | Weekly recurring",100%,,??  Bzc_Hemalraj Workshop (Resuming) (Audio Issue),Bizcivitas,[Biz] Long Video,?? High,2-day edit | Recurring weekly long-form content,100%,,Not Everyone Belongs Here,Bizcivitas,[SP] Static Po,?? Medium,7 May,100%
,,Bardbox,,,,,,,,,,,,,,Stress = Growth - Systems,Brand Whisperer,[SP] Static Po,?? Medium,7 May,
,,,,,,,,,,,,,,,,SMEs Don't Have Team Problems,Brand Whisperer,[SP] Static Po,?? Medium,8 May,
,,,,,,,,,,,,,,,,Real Member Shift,Bizcivitas,[SP] Static Po,?? Medium,11 May,
,,,,,,,,,,,,,,,,,,,,,
15 May,FRI,Don't Wait in Confusion,RDCC,[RL] Reel,?? High,29 May,100%,,RDCC Logo Animation,RDCC,Outro,?? High,2-day edit | Recurring weekly long-form content,100%,,Member Quote Static,Bizcivitas,[SP] Static Po,?? Medium,11 May,100%
,,Branding Sirf Logo Nahi,Bardbox,[RL] Reel,?? Medium,12 May,,,,,,,,,,Revenue = Memory × Trust,Brand Whisperer,[SP] Static Po,?? Medium,14 May,
,,Conversations > Contacts,Bizcivitas,[RL] Reel,?? Medium,14 May,,,,,,,,,,Testimonial Static,Bizcivitas,[SP] Static Po,?? Medium,15 May,
,,,,,,,,,,,,,,,,Many Businesses High Quality,Brand Whisperer,[SP] Static Po,?? Medium,15 May,
,,,,,,,,,,,,,,,,,,,,,
18 May,MON,ot reel rdcc,RDCC,[RL] Reel,?? Medium,18 May,100%,,RDCC Logo Animation,RDCC,Outro,?? High,14 May,100%,,Comfort Is Killing You,Bizcivitas,[CR] Carousel,?? Medium,18 May,100%
,,physiotherapy reel rdcc,Bizcivitas,[RL] Reel,?? Medium,21 May,,,BB_leaving_office_reel_6,Bardbox,[RL] Reel,?? High,16 May,,,You Don't Need More Content,Bizcivitas,[CR] Carousel,?? Medium,18 May,
,,speech rdcc,Bizcivitas,[RL] Reel,?? Medium,27 May,,,,,,,,,,Positioning = Revenue Math,Brand Whisperer,[SP] Static Po,?? Medium,21 May,
,,,,,,,,,,,,,,,,,,,,,
19 May,TUE,,,,,,,,RDCC Logo Animation,RDCC,Outro,?? High,20 May,100%,,Client Retention Carousel,Bardbox,[CR] Carousel,?? Medium,21 May,100%
,,,,,,,,,,,,,,,,You're Playing Small,Bizcivitas,[CR] Carousel,?? Medium,22 May,
,,,,,,,,,,,,,,,,Most Brand Advice Is Wrong,Brand Whisperer,[SP] Static Po,?? Medium,22 May,
,,,,,,,,,,,,,,,,,,,,,
20 May,WED,??  Bizcivitas — Weekly Long Video (W3)  [Shoot Day],Bizcivitas,[WL] Long Video,?? High,"Wed=shoot, Thu=edit | 1 day edit | Weekly recurring",100%,,Authority Reel — Who Listens To You?,Brand Whisperer,[RL] Reel,?? High,27 May,100%,,Your Network Is Weak,Bizcivitas,[CR] Carousel,?? Medium,26 May,87%
,,,,,,,,,Access Changes Everything,Bizcivitas,[RL] Reel,?? High,28 May,,,Clarity = Confidence = Clients,Brand Whisperer,[SP] Static Po,?? Medium,28 May,
,,,,,,,,,Month Close CTA Reel,Bardbox,[RL] Reel,?? High,29 May,,,Premium Positioning Static,Bardbox,[SP] Static Po,?? Medium,28 May,
,,,,,,,,,,,,,,,,,,,,,
21 May,THU,??  Bizcivitas — Weekly Long Video (W3)  [Edit Day],Bizcivitas,[WL] Long Video,?? High,"Wed=shoot, Thu=edit | 1 day edit | Weekly recurring",100%,,??  Brand Whisperer — Weekly Long Video (W3)  [Day 1 Edit],Brand Whisperer,[BW] Long Video,?? High,2-day edit | Recurring weekly long-form content,100%,,Your Competitor Isn't Your Problem,Brand Whisperer,[SP] Static Po,?? Medium,29 May,50%
,,,,,,,,,,,,,,,,BTS Reality,Bizcivitas,[SP] Static Po,?? Low,25 May,
,,,,,,,,,,,,,,,,,,,,,
22 May,FRI,,,,,,,,??  Brand Whisperer — Weekly Long Video (W3)  [Day 2 Edit],Brand Whisperer,[BW] Long Video,?? High,2-day edit | Recurring weekly long-form content,100%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
25 May,MON,,,,,,,,This Looks Like Play,RDCC,[RL] Reel,?? Medium,9 May,100%,,,,,,,
,,,,,,,,,Team Fun Reel — Designer vs Reality,Bardbox,[RL] Reel,?? Medium,13 May,,,,,,,,
,,,,,,,,,Motion Graphic Artist Hustle,Bardbox,[RL] Reel,?? Medium,14 May,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
26 May,TUE,,,,,,,,How Therapists Use Toys,RDCC,[RL] Reel,?? Medium,19 May,100%,,,,,,,
,,,,,,,,,Founder Story / BTS Reel,Bardbox,[RL] Reel,?? Medium,25 May,,,,,,,,
,,,,,,,,,This Isn't For You If,Bizcivitas,[RL] Reel,?? Medium,29 May,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
27 May,WED,??  Bizcivitas — Weekly Long Video (W4)  [Shoot Day],Bizcivitas,[WL] Long Video,?? High,"Wed=shoot, Thu=edit | 1 day edit | Weekly recurring",100%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
28 May,THU,??  Bizcivitas — Weekly Long Video (W4)  [Edit Day],Bizcivitas,[WL] Long Video,?? High,"Wed=shoot, Thu=edit | 1 day edit | Weekly recurring",100%,,??  Brand Whisperer — Weekly Long Video (W4)  [Day 1 Edit],Brand Whisperer,[BW] Long Video,?? High,2-day edit | Recurring weekly long-form content,100%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
29 May,FRI,,,,,,,,??  Brand Whisperer — Weekly Long Video (W4)  [Day 2 Edit],Brand Whisperer,[BW] Long Video,?? High,2-day edit | Recurring weekly long-form content,100%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
