,,Drive link,,https://drive.google.com/drive/folders/1Cf_9QcL_JWkFfgyOeXVFY0yE4dSmdVrL?usp=drive_link,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Post No,Format,Content Piller,Content Type,Purpose,Drive Link,Shoot Required,Status,Remarks,,
,,1,Reel,Expert Insights / Doctor Advice,"Doctor Reel:
Himali Parikh",Sleep Hygiene Awareness,https://drive.google.com/drive/folders/1JlQ1m_YDgvoAMbkV9EHmGnH5vzpi5PVN?usp=drive_link,,,,,
,,2,Image,Early Signs Awareness,Parent Pain Point Creative,Identify common behaviour concerns,,,,,,
,,3,Reel,Child Transformation Story / Testimonial,Preeti Dubey,Showcase outcomes and success stories,https://drive.google.com/file/d/1Ka7SoaTc6ISSbAf-tcUhnYljlMQ4S84j/view?usp=drive_link,,,,,
,,4,Reel,Therapy in Action / Behind The Progress,ADHD - Disha Gandhi,Demonstrate therapies through child outcomes,https://drive.google.com/drive/folders/1hWaki4zSHsypEyCpxrt-SCXtE8PiuJ3m?usp=drive_link,,,,,
,,5,Carousel,Parent Education / Awareness,Signs Your Child May Need Assessment,Save-worthy educational content,,,,,,
,,6,Reel,Parent Education / Milestone Awareness,Special Education,Save-worthy educational content,https://drive.google.com/drive/folders/12N_6KxwiLYQ9PXI1CIY0bWRaI9MP23LG,,,,,
,,7,Reel,Expert Insights / Doctor Advice,"Doctor Reel:
Shridher joshi",epilepsy,https://drive.google.com/file/d/1G3J1Bzpls0Ozr1hf8ZDcL9RDU1m-4ly4/view?usp=drive_link,,,,,
,,8,Reel,Assessment / Screening / Camp Promotion,fun Activity,Lead generation and appointments,https://drive.google.com/drive/folders/1mCp_fB8UVorSP-cWBx4uedqi3Nyu7zjN,,,,,
,,9,Reel,Service Pitch,Why Choose RDCC?,Service awareness and inquiry generation,use stock,,,,,
,,10,Reel,Therapy in Action / Behind The Progress,Therapist,,,,,,,
,,11,Image,Myth vs Fact,,Break misconceptions,,,,,,
,,12,Reel,Assessment / Screening / Camp Promotion,speech & language Therapy,speak to clearly  ,https://drive.google.com/drive/folders/1BREpylejIBAmB05hAmy_aQ9Os5pxXl1i?usp=drive_link,,,,,
,,13,Reel,Expert Insights / Doctor Advice,"Doctor Reel:
Himali Parikh",Build authority and trust,https://drive.google.com/drive/folders/1b-R7oT2uaYs23_HWs1KCBGWJC2lvWCmJ,,,,,
,,14,Carousel,"Parent Guidance
",,Practical tips,,,,,,
,,15,Reel,Child Transformation Story / Testimonial,,Trust building through reviews,https://drive.google.com/file/d/1YI39LoEwwiNmg0uwcpvW7WUBcrvQ-X1U/view?usp=drive_link,,,,,
